1,VCC_BATT,HPA05_CC_P,GND,VCCO_HPA
2,GND,HPA05_CC_N,GND,VCCO_HPA
3,HPA06_P,GND,HPA00_CC_P,GND
4,HPA06_N,HPA04_P,HPA00_CC_N,HPA02_P
5,GND,HPA04_N,GND,HPA02_N
6,HPA_CLK0_P,GND,HPA03_P,GND
7,HPA_CLK0_N,HPA07_P,HPA03_N,HPA01_P
8,GND,HPA07_N,GND,HPA01_N
9,HPA12_P,GND,HPA08_P,GND
10,HPA12_N,HPA11_P,HPA08_N,HPA09_P
11,GND,HPA11_N,GND,HPA09_N
12,HPA13_P,GND,HPA10_CC_P,GND
13,HPA13_N,VCCO_HDA,HPA10_CC_N,HPA14_P
14,GND,VCCO_HDA,GND,HPA14_N
15,HDA09,GND,PS_POR_L,GND
16,HDA10,HDA03,PS_SRST_C2M_L,HDA00_CC
17,HDA11,HDA04,GND,HDA01
18,GND,HDA05,HDA06,HDA02
19,VCCOEN_PS_M2C,GND,HDA07,GND
20,VCCOEN_PL_M2C,HDA15,HDA08_CC,HDA12
21,GND,HDA16_CC,GND,HDA13
22,JTAG_TMS_C2M,HDA17,HDA18,HDA14
23,JTAG_TDO_M2C,GND,HDA19,GND
24,JTAG_TDI_C2M,PS_ERROR_OUT_M2C,HDA20,PWRGD_FPD_M2C
25,JTAG_TCK_C2M,PS_ERROR_STATUS_M2C,GND,PWRGD_LPD_M2C
26,GND,PWROFF_C2M_L,MIO24_I2C_SCK,PWRGD_PL_M2C
27,MODE0_C2M,GND,MIO25_I2C_SDA,GND
28,MODE1_C2M,MIO35,MIO12_FWUEN_C2M_L,MIO26_WD_IN
29,MODE2_C2M,MIO36,GND,MIO27
30,MODE3_C2M,MIO37,MIO29,MIO28
31,Reserved,GND,MIO30,GND
32,Reserved,MIO38,MIO31_SHUTDOWN,MIO44
33,GND,MIO39,GND,MIO45
34,MIO41,MIO40,MIO47,MIO46
35,MIO42,GND,MIO48,GND
36,MIO43,MIO50,MIO49,MIO52
37,GND,MIO51,GND,MIO53
38,MIO61,Reserved,MIO55,MIO54
39,MIO62,GND,MIO56,GND
40,MIO63,MIO58,MIO57,MIO64
41,GND,MIO59,GND,MIO65
42,MIO73,MIO60,MIO67,MIO66
43,MIO74,GND,MIO68,GND
44,MIO75,MIO70,MIO69,MIO76
45,GND,MIO71,Reserved,MIO77
46,GND,MIO72,GND,Reserved
47,GTR_DP1_M2C_P,GND,GTR_REFCLK0_C2M_P,GND
48,GTR_DP1_M2C_N,GND,GTR_REFCLK0_C2M_N,GND
49,GND,GTR_REFCLK1_C2M_P,GND,GTR_DP3_C2M_P
50,GND,GTR_REFCLK1_C2M_N,GND,GTR_DP3_C2M_N
51,GTR_REFCLK3_C2M_P,GND,GTR_DP3_M2C_P,GND
52,GTR_REFCLK3_C2M_N,GND,GTR_DP3_M2C_N,GND
53,GND,GTR_DP2_C2M_P,GND,GTR_REFCLK2_C2M_P
54,GND,GTR_DP2_C2M_N,GND,GTR_REFCLK2_C2M_N
55,GTR_DP0_C2M_P,GND,GTR_DP1_C2M_P,GND
56,GTR_DP0_C2M_N,GND,GTR_DP1_C2M_N,GND
57,GND,GTR_DP0_M2C_P,GND,GTR_DP2_M2C_P
58,GND,GTR_DP0_M2C_N,GND,GTR_DP2_M2C_N
59,VCC_SOM,GND,VCC_SOM,GND
60,VCC_SOM,VCC_SOM,VCC_SOM,VCC_SOM
